"ADVERTISER","SERVICEABLE AREA","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"Abe's of Maine","US","12007355","Sony DSC-HX200V Digital Camera, 18.2MP, 30x Optical Zoom, Full HD, GPS - Black","Purchase a Sony DSC-HX200V Digital Camera, 18.2MP, 30x Optical Zoom, Full HD, GPS - Black for $389 + FREE Shipping! Loyalty10","Sony, EOS, Rebel, Cyber-shot, SLR, DSLR, Camera, Photography, Digital, Lens, Point and Shoot","Text Link","New","New","14-Nov-2014","<a href=""http://www.anrdoezrs.net/click-7195889-12007355"" target=""_top"">Purchase a Sony DSC-HX200V Digital Camera, 18.2MP, 30x Optical Zoom, Full HD, GPS - Black for $389 + FREE Shipping! Loyalty10</a><img src=""http://www.ftjcfx.com/image-7195889-12007355"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12620063?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-12007355","Sale/Discount","","14-Nov-2014","13-Dec-2014","Consumer Electronics","2298871","Active","English","No"
"Abe's of Maine","US","12007356","Samsung 65 Class (64.5 Diag.) LED H6350 Series Smart TV","Purchase a Samsung 65 Class (64.5 Diag.) LED H6350 Series Smart TV for $1284 + a FREE Wall Mount + FREE Shipping! Loyalty15","Samsung, HDTV, TV, Television, LED, LCD, Plasma, Flat Screen, 3D, Flat Panel","Text Link","New","New","14-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-12007356"" target=""_top"">Purchase a Samsung 65 Class (64.5 Diag.) LED H6350 Series Smart TV for $1284 + a FREE Wall Mount + FREE Shipping! Loyalty15</a><img src=""http://www.lduhtrp.net/image-7195889-12007356"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12620064?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-12007356","Sale/Discount","","14-Nov-2014","13-Dec-2014","Consumer Electronics","2298871","Active","English","No"
"Abe's of Maine","US","12007357","Samsung UN40EH5300 40"" Class LED HDTV ","Purchase a Samsung UN40EH5300 40"" Class LED HDTV for $400 + a FREE Wall Mount + FREE Shipping! Loyalty15","Samsung, HDTV, TV, Television, LED, LCD, Plasma, Flat Screen, 3D, Flat Panel","Text Link","New","New","14-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-12007357"" target=""_top"">Purchase a Samsung UN40EH5300 40"" Class LED HDTV for $400 + a FREE Wall Mount + FREE Shipping! Loyalty15</a><img src=""http://www.awltovhc.com/image-7195889-12007357"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12620065?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12007357","Sale/Discount","","14-Nov-2014","13-Dec-2014","Consumer Electronics","2298871","Active","English","No"
"Abe's of Maine","US","12007358","Nikon D5200 24.1 Megapixel DX-Format Digital SLR Camera with 18-55mm f/3.5-5.6G AF-S DX (VR) Lens - Bronze","Purchase a Nikon D5200 24.1 Megapixel DX-Format Digital SLR Camera with 18-55mm f/3.5-5.6G AF-S DX (VR) Lens - Bronze for $554.99 + FREE Shipping! Loyalty15","Nikon, D5200, EOS, Rebel, Cyber-shot, SLR, DSLR, Camera, Photography, Digital, Lens","Text Link","New","New","14-Nov-2014","<a href=""http://www.anrdoezrs.net/click-7195889-12007358"" target=""_top"">Purchase a Nikon D5200 24.1 Megapixel DX-Format Digital SLR Camera with 18-55mm f/3.5-5.6G AF-S DX (VR) Lens - Bronze for $554.99 + FREE Shipping! Loyalty15</a><img src=""http://www.awltovhc.com/image-7195889-12007358"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12620066?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-12007358","Sale/Discount","","14-Nov-2014","13-Dec-2014","Consumer Electronics","2298871","Active","English","No"
"Abe's of Maine","US","12007359","LG 60"" CLASS (59.8"" DIAGONAL) 1080P SMART PLASMA TV","Purchase a LG 60"" CLASS (59.8"" DIAGONAL) 1080P SMART PLASMA TV for $784 + a FREE Wall Mount + FREE Shipping! Loyalty15","LG, HDTV, TV, Television, LED, LCD, Plasma, Flat Screen, 3D, Flat Panel","Text Link","New","New","14-Nov-2014","<a href=""http://www.jdoqocy.com/click-7195889-12007359"" target=""_top"">Purchase a LG 60"" CLASS (59.8"" DIAGONAL) 1080P SMART PLASMA TV for $784 + a FREE Wall Mount + FREE Shipping! Loyalty15</a><img src=""http://www.ftjcfx.com/image-7195889-12007359"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12620067?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12007359","Sale/Discount","","14-Nov-2014","13-Dec-2014","Consumer Electronics","2298871","Active","English","No"
"Abe's of Maine","US","12007360","SONY Alpha a7R Mirrorless Digital Camera ","Purchase a SONY Alpha a7R Mirrorless Digital Camera for $1683 + FREE Shipping! Loyalty15","Sony, Alpha, EOS, A7r, Rebel, Cyber-shot, SLR, DSLR, Camera, Photography, Digital, Lens","Text Link","New","New","14-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-12007360"" target=""_top"">Purchase a SONY Alpha a7R Mirrorless Digital Camera for $1683 + FREE Shipping! Loyalty15</a><img src=""http://www.tqlkg.com/image-7195889-12007360"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12620068?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12007360","Sale/Discount","","14-Nov-2014","13-Dec-2014","Consumer Electronics","2298871","Active","English","No"
"1800Mattress","US","11930548","Free Shipping Sitewide! Use Code PCSHIP at 1800Mattress.com!","Free Shipping Sitewide! Use Code PCSHIP at 1800Mattress.com!","800 Mattress, 1800mattress.com, bedding, home decor, discount beds, discount bedding, twin beds, full beds, queen beds, king beds, california king beds, twin, full, queen, king, california king, Sealy, Serta, Simmons, Stearns and Foster, Tempur Pedic, King Koil, sheets, pillows, comforters, firm, pillow top, cushion firm, ultra plush, mattress, mattress only, box spring, bed set, bed sets, beddin","Text Link","","","13-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-11930548"" target=""_top"">Free Shipping Sitewide! Use Code PCSHIP at 1800Mattress.com!</a><img src=""http://www.lduhtrp.net/image-7195889-11930548"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12247907?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-11930548","Coupon","PCSHIP","15-Sep-2014","30-Nov-2014","Bed & Bath","4323549","Active","English","Yes"
"1800Mattress","US","11930555","Black Friday Blowout at 1800Mattress! Save up to 60% Off Sealy, Serta, & Simmons with Queen Sets Starting at only $299.99!","Black Friday Blowout at 1800Mattress! Save up to 60% Off Sealy, Serta, & Simmons with Queen Sets Starting at only $299.99!","800 Mattress, 1800mattress.com, bedding, home decor, discount beds, discount bedding, twin beds, full beds, queen beds, king beds, california king beds, twin, full, queen, king, california king, Sealy, Serta, Simmons, Stearns and Foster, Tempur Pedic, King Koil, sheets, pillows, comforters, firm, pillow top, cushion firm, ultra plush, mattress, mattress only, box spring, bed set, bed sets, beddin","Text Link","","$29.00 USD","13-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-11930555"" target=""_top"">Black Friday Blowout at 1800Mattress! Save up to 60% Off Sealy, Serta, & Simmons with Queen Sets Starting at only $299.99!</a><img src=""http://www.lduhtrp.net/image-7195889-11930555"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12401392?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-11930555","Sale/Discount","","15-Sep-2014","30-Nov-2014","Bed & Bath","4323549","Active","English","Yes"
"1800Mattress","US","11947975","Free Nationwide Delivery on Purchases $399.98 or more! Shop 1800Mattress.com Now! See site for exclusions. ","Free Nationwide Delivery on Purchases $399.98 or more! Shop 1800Mattress.com Now! See site for exclusions. 
Exclusions apply: http://www.1800mattress.com/en/info/delivery2/ ","bedding, home decor, discount beds, discount bedding, twin beds, full beds, queen beds, king beds, california king beds, twin, full, queen, king, california king, Sealy, Serta, Simmons, Stearns and Foster, Tempur Pedic, King Koil, sheets, pillows, comforters, firm, pillow top, cushion firm, ultra plush, mattress, mattress only, box spring, bed set, bed sets, bedding sets","Text Link","","","13-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-11947975"" target=""_top"">Free Nationwide Delivery on Purchases $399.98 or more! Shop 1800Mattress.com Now! See site for exclusions. </a><img src=""http://www.lduhtrp.net/image-7195889-11947975"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12401393?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-11947975","Sale/Discount","","17-Sep-2014","30-Nov-2014","Bed & Bath","4323549","Active","English","Yes"
"1800Mattress","US","11947980","Save 15% on Orders $499+ with code SHARE15 at 1800Mattress!  ","Save 15% on Orders $499+ with code SHARE15 at 1800Mattress! Some exclusions apply. ","bedding, home decor, discount beds, discount bedding, twin beds, full beds, queen beds, king beds, california king beds, twin, full, queen, king, california king, Sealy, Serta, Simmons, Stearns and Foster, Tempur Pedic, King Koil, sheets, pillows, comforters, firm, pillow top, cushion firm, ultra plush, mattress, mattress only, box spring, bed set, bed sets, bedding sets","Text Link","","","13-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-11947980"" target=""_top"">Save 15% on Orders $499+ with code SHARE15 at 1800Mattress!  </a><img src=""http://www.lduhtrp.net/image-7195889-11947980"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12247908?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-11947980","Coupon","SHARE15","17-Sep-2014","30-Nov-2014","Bed & Bath","4323549","Active","English","Yes"
