SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
5489cb595dca3,Shop Dillard's Gift Cards: A Dillard's gift card makes it easy and always fits perfectly.,120,3.84,Dillards Inc.,Flex_Offers,12/29/2014,439305013
548618440ec5e,Omaha Steaks,7.99,0.45,Omaha Steaks,Flex_Offers,12/29/2014,439308189
548618440ec5e,Omaha Steaks,39.99,2.24,Omaha Steaks,Flex_Offers,12/29/2014,439308190
546e5a8cad92d,"Baby's First Halloween. Join Us for an in store parade! Saturday, Oct. 18 at 10am. Learn more at Babiesrus.com!",29.99,1.2,Babies R Us,Flex_Offers,12/29/2014,439311609
546c87f975ab9,Terror Tuesdays! Save 25% when you spend $75 on Halloween,0,0.8,Target.com,Flex_Offers,12/29/2014,439312209
546c87f975ab9,Terror Tuesdays! Save 25% when you spend $75 on Halloween,0,1.59,Target.com,Flex_Offers,12/29/2014,439312251
548618440ec5e,Omaha Steaks,7.99,0.45,Omaha Steaks,Flex_Offers,12/29/2014,439317418
548618440ec5e,Omaha Steaks,39.99,2.24,Omaha Steaks,Flex_Offers,12/29/2014,439317419
546c87f975ab9,Terror Tuesdays! Save 25% when you spend $75 on Halloween,0,0.3,Target.com,Flex_Offers,12/29/2014,439321198
5283d9bf0caa4,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,21.67,1.3,Macys.com,Flex_Offers,12/29/2014,439339659
5283d9bf0caa4,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,8.49,0.51,Macys.com,Flex_Offers,12/29/2014,439339660
5283d9bf0caa4,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,65,3.9,Macys.com,Flex_Offers,12/29/2014,439339661
5283d9bf0caa4,PDX112589NY_0,59.99,3,wine.com,Link_share,12/29/2014,8587609
546e35b1509ce,TSRRM1X,,-1.64,Banana Republic,commission_junction,12/29/2014,1807568032
