SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
546e35b1509ce,TSQXYGL,,0.94,Gap,Commission_Junction,12/15/2014,1799662552
546e35b1509ce,TT0C5SG,,-2.35,Old Navy,Commission_Junction,12/15/2014,1800377432
5283d9bf0caa4,1329754,196.2,9.83,Lucky Brand,Pepper_Jam,12/15/2014,40645463
5283d9bf0caa4,7264,54.99,2.75,GourmetGiftBaskets.com,Link_Share,12/15/2014,980939-1159546
5283d9bf0caa4,7264,-5.5,-0.28,GourmetGiftBaskets.com,Link_Share,12/15/2014,980939-1159546
54871f16d9cb7,new-cd-purchase,29.98,1.5,fye.com,Link_Share,12/15/2014,6337963
54871f16d9cb7,new-cd-purchase,15.98,0.8,fye.com,Link_Share,12/15/2014,6337963
548a661201d01,3R,36.2,3.62,Pittman & Davis,Link_Share,12/15/2014,1.41E+11
548a661201d01,3R,36.2,3.62,Pittman & Davis,Link_Share,12/15/2014,1.41E+11
548a661201d01,3X,36.15,3.62,Pittman & Davis,Link_Share,12/15/2014,1.41E+11
546e5a8cad92d,The Official LEGO Shop,15.99,0.38,LEGO Brand Retail,Link_Share,12/16/2014,439054041
5481ffd14ee4b,Spring is in the Air! 25% Off Dozens of Outdoor Fun and Spring Toys at BN.com!,26.58,0.64,Barnes & Noble,Link_Share,12/17/2014,439072631
536d34de79a60,Ray-Ban.com,200,12.8,Ray-Ban,Link_Share,12/18/2014,439097012
525659344c44e,Shop all our new products today at Brookstone.com!,-25.01,-1.6,Brookstone,Link_Share,12/19/2014,439097110
546e620fa9600,HUGE Savings at AccessoryGeeks.com!,32.99,2.64,AccessoryGeeks.com,Link_Share,12/20/2014,439152483
5473bbbf55e02,Shop Online at BestBuy.com,-31.99,-1.28,"Best Buy Co, Inc.",Link_Share,12/21/2014,439161434
534dbb4c35094,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,25,1.5,Macys.com,Link_Share,12/22/2014,439177367
534dbb4c35094,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,29.99,1.8,Macys.com,Link_Share,12/23/2014,439177368
