SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
54a20add801f5,Terror Tuesdays! Save 25% when you spend $75 on Halloween,0,9.6,Target.com,Flex_Offers,1/15/2015,439380345
536d34de79a60,NORDSTROM,72,1.15,NORDSTROM.com,Flex_Offers,1/15/2015,439420584
536d34de79a60,NORDSTROM,48,0.77,NORDSTROM.com,Flex_Offers,1/15/2015,439420585
5283d9bf0caa4,NORDSTROM,22,0.35,NORDSTROM.com,Flex_Offers,1/15/2015,439428352
5283d9bf0caa4,NORDSTROM,22,0.35,NORDSTROM.com,Flex_Offers,1/15/2015,439428353
5283d9bf0caa4,NORDSTROM,22,0.35,NORDSTROM.com,Flex_Offers,1/15/2015,439428354
5283d9bf0caa4,NORDSTROM,22,0.35,NORDSTROM.com,Flex_Offers,1/15/2015,439428355
5283d9bf0caa4,NORDSTROM,22,0.35,NORDSTROM.com,Flex_Offers,1/15/2015,439428356
5283d9bf0caa4,NORDSTROM,22,0.35,NORDSTROM.com,Flex_Offers,1/15/2015,439428357
5283d9bf0caa4,NORDSTROM,22,0.35,NORDSTROM.com,Flex_Offers,1/15/2015,439428358
5283d9bf0caa4,NORDSTROM,22,0.35,NORDSTROM.com,Flex_Offers,1/15/2015,439428359
5283d9bf0caa4,NORDSTROM,66,1.06,NORDSTROM.com,Flex_Offers,1/15/2015,439428360
5283d9bf0caa4,NORDSTROM,66,1.06,NORDSTROM.com,Flex_Offers,1/15/2015,439428361
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,52.51,1.58,Quill,Flex_Offers,1/15/2015,439442931
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,149.39,5.98,Quill,Flex_Offers,1/15/2015,439442936
547d0b91982ff,Shop Online at BestBuy.com,-139.99,-1.4,"Best Buy Co, Inc.",Flex_Offers,1/15/2015,439448154
546c87f975ab9,Terror Tuesdays! Save 25% when you spend $75 on Halloween,0,0.81,Target.com,Flex_Offers,1/15/2015,439449261
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,25.19,1.21,Quill,Flex_Offers,1/15/2015,439458835
5489cb595dca3,Nike,150,6,Nike,Flex_Offers,1/15/2015,439460336
5489cb595dca3,Nike,110,4.4,Nike,Flex_Offers,1/15/2015,439460337
5489cb595dca3,NORDSTROM,148,2.37,NORDSTROM.com,Flex_Offers,1/15/2015,439470112
5283d9bf0caa4,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,-21.67,-1.3,Macys.com,Flex_Offers,1/15/2015,439497080
529e2bf495a06,3487,79.99,16,Flower.com Flowers,Link_Share,1/15/2015,7863922
5489cb595dca3,U-9301-XLG-BNYH,29.99,1.5,Scrubshopper,Link_Share,1/15/2015,1065803
5489cb595dca3,U-9534-XL-BNP,21.49,1.07,Scrubshopper,Link_Share,1/15/2015,1065803
5489cb595dca3,F307700053,0,21.84,Free People,Commission_Junction,1/16/2015,1814605024
