SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
5283d9bf0caa4,NORDSTROM,12.00,0.19,NORDSTROM.com,Flex_offers,12/22/2014,439290056
5283d9bf0caa4,NORDSTROM,12.00,0.19,NORDSTROM.com,Flex_offers,12/22/2014,439290057
5283d9bf0caa4,NORDSTROM,12.00,0.19,NORDSTROM.com,Flex_offers,12/22/2014,439290058
5283d9bf0caa4,NORDSTROM,12.00,0.19,NORDSTROM.com,Flex_offers,12/22/2014,439290059
5283d9bf0caa4,NORDSTROM,12.00,0.19,NORDSTROM.com,Flex_offers,12/22/2014,439290060
5283d9bf0caa4,NORDSTROM,12.00,0.19,NORDSTROM.com,Flex_offers,12/22/2014,439290061
5283d9bf0caa4,NORDSTROM,12.00,0.19,NORDSTROM.com,Flex_offers,12/22/2014,439290062
5283d9bf0caa4,NORDSTROM,12.00,0.19,NORDSTROM.com,Flex_offers,12/22/2014,439290063
5283d9bf0caa4,NORDSTROM,38.00,0.61,NORDSTROM.com,Flex_offers,12/22/2014,439290064
5283d9bf0caa4,NORDSTROM,40.00,5.12,NORDSTROM.com,Flex_offers,12/22/2014,439290065
5283d9bf0caa4,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,21.50,1.29,Macys.com,Flex_offers,12/22/2014,439291191
5283d9bf0caa4,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,79.00,4.74,Macys.com,Flex_offers,12/22/2014,439291192
5283d9bf0caa4,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,90.00,5.40,Macys.com,Flex_offers,12/22/2014,439291193
529e2bf495a06,Shop Online at BestBuy.com,209.99,8.40,"Best Buy Co, Inc.",Flex_offers,12/22/2014,439277351
529e2bf495a06,(10.9-10.31) Save on Halloween Flowers and Gifts from FTD,101.00,11.31,FTD.com,Flex_offers,12/22/2014,439295958
529e2bf495a06,(10.9-10.31) Save on Halloween Flowers and Gifts from FTD,80.00,8.96,FTD.com,Flex_offers,12/22/2014,439295959
52ab7c63df69a,Spring is in the Air! 25% Off Dozens of Outdoor Fun and Spring Toys at BN.com!,10.99,0.26,Barnes & Noble,Flex_offers,12/22/2014,439247917
52ab7c63df69a,Spring is in the Air! 25% Off Dozens of Outdoor Fun and Spring Toys at BN.com!,8.81,0.21,Barnes & Noble,Flex_offers,12/22/2014,439247918
52ab7c63df69a,Spring is in the Air! 25% Off Dozens of Outdoor Fun and Spring Toys at BN.com!,9.95,0.24,Barnes & Noble,Flex_offers,12/22/2014,439247919
534dbb4c35094,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,-29.99,-1.80,Macys.com,Flex_offers,12/22/2014,439301480
546ad2c7ab0e7,Get Free Shipping on Orders of $50 or More at Walmart.com!,6.47,0.19,"Wal-Mart.com USA, LLC",Flex_offers,12/22/2014,439213108
546e5a8cad92d,EXPRESS,54.85,2.19,Express,Flex_offers,12/22/2014,439283320
5489cb595dca3,Logo 120x90,110.00,6.60,Nike,Flex_offers,12/22/2014,439223483
548a661201d01,DEEP LINK,39.99,1.28,Toys R Us,Flex_offers,12/22/2014,439282473
548a661201d01,DEEP LINK,129.99,4.16,Toys R Us,Flex_offers,12/22/2014,439282597
