SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
5489cb595dca3,Shop Dillard's Gift Cards: A Dillard's gift card makes it easy and always fits perfectly.,-120,-3.84,Dillards Inc.,Flex_Offers,2/6/2015,439513848
52ab7c63df69a,Shop Online at BestBuy.com,12.99,0.42,"Best Buy Co, Inc.",Flex_Offers,2/6/2015,439550127
546ca60f3bcbe,W028851031585,21.94,0.88,"Wal-Mart.com USA, LLC",Link_Share,2/6/2015,2677167509245
546ca60f3bcbe,W079118500115,8.97,0.36,"Wal-Mart.com USA, LLC",Link_Share,2/6/2015,2677167509245
