SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
536d34de79a60,Leave your heart in San Francisco! Fall in love with luxury at The St. Regis San Francisco from Travelocity.,355.35,2.4,Travelocity,Flex_offers,12/4/2014,438796048
546f6db1c0741,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,116.99,7.02,Macys.com,Flex_offers,12/4/2014,438814538
546f6db1c0741,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,49.5,2.97,Macys.com,Flex_offers,12/4/2014,438814539
546f6db1c0741,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,26.99,1.62,Macys.com,Flex_offers,12/4/2014,438814540
546f6db1c0741,Lucky Brand Jeans Medium Slouch Leather Hobo Bag,12.99,0.78,Macys.com,Flex_offers,12/4/2014,438814541
546d629d26086,Shop Online at BestBuy.com,59.99,0.6,"Best Buy Co, Inc.",Flex_offers,12/4/2014,438837827
537961c581ef3,Leave your heart in San Francisco! Fall in love with luxury at The St. Regis San Francisco from Travelocity.,1458.6,9.6,Travelocity,Flex_offers,12/4/2014,438908204
547d0b91982ff,Shop Online at BestBuy.com,23.99,0.96,"Best Buy Co, Inc.",Flex_offers,12/4/2014,438923227
547d0b91982ff,Shop Online at BestBuy.com,39.99,1.6,"Best Buy Co, Inc.",Flex_offers,12/4/2014,438923228
547d0b91982ff,Shop Online at BestBuy.com,139.99,1.4,"Best Buy Co, Inc.",Flex_offers,12/4/2014,438923229
547d0b91982ff,Get Free Shipping on Orders of $50 or More at Walmart.com!,31.5,0.95,"Wal-Mart.com USA, LLC",Flex_offers,12/4/2014,438923991
547d0b91982ff,Get Free Shipping on Orders of $50 or More at Walmart.com!,25.64,0.77,"Wal-Mart.com USA, LLC",Flex_offers,12/4/2014,438923992
547d0b91982ff,51244606,,4.5,Bass Pro Shops,Commission_Junction,12/4/2014,1796527088
546e35b1509ce,TSRRM1X,,3.28,Banana Republic,Commission_Junction,12/4/2014,1796543238
529e2bf495a06,102241,59.99,3,"GameStop, Inc.",Link_Share,12/4/2014,4.1412E+15
529e2bf495a06,105966,329.99,6.6,"GameStop, Inc.",Link_Share,12/4/2014,4.1412E+15
529e2bf495a06,210067,39.99,2,"GameStop, Inc.",Link_Share,12/4/2014,4.1412E+15
529e2bf495a06,803727,44.99,2.25,"GameStop, Inc.",Link_Share,12/4/2014,4.1412E+15
