SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,339.95 ,10.88,Quill,Flex_Offers,4/15/2015,440028432
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,155.09 ,4.86,Quill,Flex_Offers,4/15/2015,440039271
5341b392daa18,Shop AnnTaylor.com,-88.50,-3.54,Ann Taylor,Flex_Offers,4/15/2015,436648416
5341b392daa18,WhiteHouseBlackMarket.com,67.45 ,1.08,White House Black Market,Flex_Offers,4/15/2015,436330881
5341b392daa18,WhiteHouseBlackMarket.com,98.00 ,1.57,White House Black Market,Flex_Offers,4/15/2015,436992634
5341b392daa18,Shop AnnTaylor.com,88.50 ,3.54,Ann Taylor,Flex_Offers,4/15/2015,436405641
534dbb4c35094,GoDaddy.com - Repeat Customer,0.00 ,1.38,GoDaddy.com,Commission_Junction,4/14/2015,406703813
536d34de79a60,Check Key West hotel rates! Read reviews & find the lowest prices at TripAdvisor!,0.14 ,0.06,TripAdvisor Commerce Campaign,Flex_Offers,4/15/2015,437042690
536d34de79a60,Check Key West hotel rates! Read reviews & find the lowest prices at TripAdvisor!,0.26 ,0.10,TripAdvisor Commerce Campaign,Flex_Offers,4/15/2015,437042691
536d34de79a60,Check Key West hotel rates! Read reviews & find the lowest prices at TripAdvisor!,3.70 ,1.48,TripAdvisor Commerce Campaign,Flex_Offers,4/15/2015,437008665
536d34de79a60,1093680,108.00 ,12.96,NORDSTROM.com,Link_Share,4/14/2015,2.01503E+22
529e2bf495a06,Foot Locker Default Link,109.99 ,5.28,Footlocker.com,Flex_Offers,4/15/2015,436381527
