SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
52ab7c63df69a,Budget.com,0,12,Budget Rent a Car,Flex_Offers,3/10/2015,439856825
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,22.99,0.74,Quill,Flex_Offers,3/10/2015,439870903
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,414.9,10.9,Quill,Flex_Offers,3/10/2015,439870904
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,24.08,0.19,Quill,Flex_Offers,3/10/2015,439885611
534dbb4c35094,797784177,1.379,$0.00,GoDaddy.com,Commission_Junction,3/10/2015,1829713236
