SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
5473bbbf55e02,Shop Online at BestBuy.com,$59.97 ,$2.40 ,"Best Buy Co, Inc.",flex_offers,12/1/2014,438588264
5473bbbf55e02,Shop Online at BestBuy.com,$31.99 ,$1.28 ,"Best Buy Co, Inc.",flex_offers,12/1/2014,438588265
5473bbbf55e02,Shop Online at BestBuy.com,$15.99 ,$0.64 ,"Best Buy Co, Inc.",flex_offers,12/1/2014,438588266
5473bbbf55e02,Shop Online at BestBuy.com,$19.99 ,$0.80 ,"Best Buy Co, Inc.",flex_offers,12/1/2014,438588267
5473bbbf55e02,Shop Online at BestBuy.com,$59.97 ,$2.40 ,"Best Buy Co, Inc.",flex_offers,12/1/2014,438588268
5473bbbf55e02,Shop Online at BestBuy.com,$47.97 ,$1.92 ,"Best Buy Co, Inc.",flex_offers,12/1/2014,438588269
529e2bf495a06,Shop Online at BestBuy.com,$89.99 ,$2.70 ,"Best Buy Co, Inc.",flex_offers,12/1/2014,438704114
529e2bf495a06,Shop Online at BestBuy.com,$89.99 ,$2.70 ,"Best Buy Co, Inc.",flex_offers,12/1/2014,438704115
5479368b1f573,Shop new Men's Coats & Jackets from Topman and more at NORDSTROM.,$116.98 ,$11.23 ,NORDSTROM.com,flex_offers,12/1/2014,438736400
5479368b1f573,Shop new Men's Coats & Jackets from Topman and more at NORDSTROM.,$179.90 ,$25.91 ,NORDSTROM.com,flex_offers,12/1/2014,438736401
5479368b1f573,Shop new Men's Coats & Jackets from Topman and more at NORDSTROM.,$179.90 ,$25.91 ,NORDSTROM.com,flex_offers,12/1/2014,438736402
5479368b1f573,Shop new Men's Coats & Jackets from Topman and more at NORDSTROM.,$25.90 ,$0.41 ,NORDSTROM.com,flex_offers,12/1/2014,438736403
54789fac273d9,Shop new Men's Coats & Jackets from Topman and more at NORDSTROM.,$30.00 ,$3.60 ,NORDSTROM.com,flex_offers,12/1/2014,438736404
529e2bf495a06,14636,$32.40 ,$2.75 ,OzoneSocks,Pepper_Jam,12/1/2014,38945882
52ab7c63df69a,100062909,$71.99 ,$5.04 ,WatchCo.com,Pepper_Jam,12/1/2014,38947414
52ab7c63df69a,1513765,$119.98 ,$6.00 ,OfficeSupply.com,Pepper_Jam,12/1/2014,39145692
546e35b1509ce,TT0C5SG,$0.00 ,$7.01 ,Old Navy,commission_junction,12/1/2014,1793046333
52ab7c63df69a,156118,$0.00 ,$6.48 ,DealYard.com,commission_junction,12/1/2014,1793373945
529e2bf495a06,2761333,$0.00 ,$4.00 ,GiftCardMall.com,commission_junction,12/1/2014,1794976803
