SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
525659344c44e,Arhaus Jewels,100.00,6.00,Arhaus Jewels,Pepper_Jam,11/23/2014,31922438
525659344c44e,Fab,25.95,1.82,Fab,link_share,11/23/2014,FAB02997706
525659344c44e,Fab,66.00,4.62,Fab,link_share,11/23/2014,FAB02997706
525659344c44e,Apparel,185.25,2.97,Chico's,flex_offers,11/23/2014,436670939
525659344c44e,Lolly Wolly Doodle,-25.00,-1.00,Lolly Wolly Doodle,link_share,11/23/2014,110335
525659344c44e,Lolly Wolly Doodle,25.00,1.00,Lolly Wolly Doodle,link_share,11/23/2014,110335
525659344c44e,Home Electronics,129.99,8.32,Brookstone,flex_offers,11/23/2014,438326184
525659344c44e,Internet Services,148.86,11.91,GoDaddy.com,flex_offers,11/23/2014,435984310
525659344c44e,Internet Services,9.99,0.80,GoDaddy.com,flex_offers,11/23/2014,436132331
525659344c44e,Internet Services,12.99,4.16,GoDaddy.com,flex_offers,11/23/2014,436362054
525659344c44e,Shoes,24.99,1.60,Champs Sports,flex_offers,11/23/2014,436959812
525659344c44e,Wireless,0.00,28.00,Flint,flex_offers,11/23/2014,437277476
5277cb3c71beb,macys.com,67.50,2.03,macys.com,link_share,11/23/2014,M1000266244
5277cb3c71beb,"Best Buy Co, Inc.",859.98,34.40,"Best Buy Co, Inc.",link_share,11/23/2014,BBY01-657298060784
5277cb3c71beb,"Best Buy Co, Inc.",119.98,1.20,"Best Buy Co, Inc.",link_share,11/23/2014,BBY01-657298060784
5277cb3c71beb,Department Stores,49.50,6.74,NORDSTROM.com,flex_offers,11/23/2014,434584356
5277cb3c71beb,Department Stores,49.50,6.74,NORDSTROM.com,flex_offers,11/23/2014,434584357
5277cb3c71beb,Department Stores,49.50,6.74,NORDSTROM.com,flex_offers,11/23/2014,434584358
5277cb3c71beb,Department Stores,49.50,6.74,NORDSTROM.com,flex_offers,11/23/2014,434584359
5277cb3c71beb,Department Stores,69.50,9.46,NORDSTROM.com,flex_offers,11/23/2014,434584360
5277cb3c71beb,Department Stores,98.00,13.33,NORDSTROM.com,flex_offers,11/23/2014,434584361
5277cb3c71beb,Department Stores,65.00,8.84,NORDSTROM.com,flex_offers,11/23/2014,434584362
5277cb3c71beb,Department Stores,110.00,14.96,NORDSTROM.com,flex_offers,11/23/2014,434891710
5277cb3c71beb,Department Stores,88.00,11.97,NORDSTROM.com,flex_offers,11/23/2014,434891711
5277cb3c71beb,Department Stores,-69.50,-9.46,NORDSTROM.com,flex_offers,11/23/2014,435027104
5277cb3c71beb,Department Stores,-65.00,-8.84,NORDSTROM.com,flex_offers,11/23/2014,435027105
5277cb3c71beb,GoDaddy.com,,6.10,GoDaddy.com,commission_junction,11/23/2014,0
5277cb3c71beb,Hotels,636.00,35.11,Hotels.com,flex_offers,11/23/2014,436970460
5277cb3c71beb,Hotels.com,,42.79,Hotels.com,commission_junction,11/23/2014,405904550
5277cb3c71beb,Hotels.com,,28.38,Hotels.com,commission_junction,11/23/2014,405745991
5277cb3c71beb,Hotels.com,,26.18,Hotels.com,commission_junction,11/23/2014,405745991
5277cb3c71beb,Internet Services,158.87,12.71,GoDaddy.com,flex_offers,11/23/2014,436370860
5277cb3c71beb,RENTAL,76.00,0.76,"Dollar Rent-a-Car, Inc.",link_share,11/23/2014,L0484119
5277cb3c71beb,Amazon,75.04,3.00,Amazon,Amazon,11/23/2014,
5283d9bf0caa4,Hanky Panky,120.00,7.20,Hanky Panky,Pepper_Jam,11/23/2014,27144958
5283d9bf0caa4,Hanky Panky,188.01,11.28,Hanky Panky,Pepper_Jam,11/23/2014,34174744
5283d9bf0caa4,BeyondtheRack.com,0.00,0.25,BeyondtheRack.com,link_share,11/23/2014,536279fa56094
5283d9bf0caa4,Department Stores,80.00,12.80,NORDSTROM.com,flex_offers,11/23/2014,434969254
5283d9bf0caa4,Department Stores,54.00,8.64,NORDSTROM.com,flex_offers,11/23/2014,438432608
5283d9bf0caa4,Department Stores,28.14,0.45,NORDSTROM.com,flex_offers,11/23/2014,438432609
5283d9bf0caa4,Department Stores,28.14,0.45,NORDSTROM.com,flex_offers,11/23/2014,438432610
5283d9bf0caa4,Fashion Accessories,24.00,0.96,Macys.com,flex_offers,11/23/2014,435871228
5283d9bf0caa4,Fashion Accessories,75.00,3.00,Macys.com,flex_offers,11/23/2014,435871229
5283d9bf0caa4,Fashion Accessories,36.00,1.44,Macys.com,flex_offers,11/23/2014,435871230
5283d9bf0caa4,Fashion Accessories,21.00,0.84,Macys.com,flex_offers,11/23/2014,435871231
5283d9bf0caa4,Free People,,2.60,Free People,commission_junction,11/23/2014,404612107
5283d9bf0caa4,Gifts / Flowers / Collectibles,74.99,16.00,FTD.com,flex_offers,11/23/2014,436569976
5283d9bf0caa4,GourmetGiftBaskets.com,34.99,1.75,GourmetGiftBaskets.com,link_share,11/23/2014,928670-1072805
5283d9bf0caa4,GourmetGiftBaskets.com,29.99,1.50,GourmetGiftBaskets.com,link_share,11/23/2014,928670-1072814
5283d9bf0caa4,GourmetGiftBaskets.com,123.98,6.20,GourmetGiftBaskets.com,link_share,11/23/2014,935176-1082135
5283d9bf0caa4,GourmetGiftBaskets.com,-12.40,-0.62,GourmetGiftBaskets.com,link_share,11/23/2014,935176-1082135
5283d9bf0caa4,Hotels.com,,19.14,Hotels.com,commission_junction,11/23/2014,405745991
5283d9bf0caa4,Internet Services,12.99,1.04,GoDaddy.com,flex_offers,11/23/2014,436370985
5283d9bf0caa4,macys.com,52.13,1.56,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,11.24,0.34,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,11.24,0.34,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,22.13,0.66,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,43.50,1.31,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,96.00,2.88,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,55.00,1.65,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,22.00,0.66,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,7.00,0.21,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,48.50,1.46,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,15.00,0.45,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,26.00,0.78,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,35.00,1.05,macys.com,link_share,11/23/2014,M1031670354
